brand,n_pairs,n_customers,english_rate,deflection_rate,resolution_rate,resolution_ci_lo,resolution_ci_hi,groundable_pairs,specificity_rate,mean_reply_len,followup_rate,gratitude_rate,still_broken_rate,gratitude_lift,n_rate_sample,score
Tesco,13041,6004,0.9993333333333333,0.2935290193462308,0.7064709806537692,0.6901267511674449,0.7221564376250833,9206.946,0.07771847898599066,127.08105403602401,0.3468979319546364,0.26826923076923076,0.009615384615384616,0.0171269833893562,3000,0.6295045753528561
ATVIAssist,6333,4312,0.9993333333333333,0.23682454969979988,0.7631754503002002,0.7478235490326886,0.7798532354903269,4829.968,0.051701134089392926,92.81154102735157,0.4719813208805871,0.16466431095406361,0.046643109540636045,0.06838868093547046,3000,0.6288943009183555
GooglePlayMusic,309,181,0.8673139158576052,0.10074626865671642,0.8992537313432836,0.8619402985074627,0.9291044776119403,241.0,0.22388059701492538,105.10074626865672,0.5597014925373134,0.2733333333333333,0.03333333333333333,,309,0.627334610442584
AskVirginMoney,441,192,1.0,0.06575963718820861,0.9342403628117913,0.9138321995464853,0.9569160997732427,412.0,0.02040816326530612,91.77324263038548,0.5895691609977324,0.25384615384615383,0.011538461538461539,0.0040983606557377095,441,0.6197761153329597
AzureSupport,2968,1297,0.9750673854447439,0.20041465100207326,0.7995853489979268,0.7850725639253628,0.8137525915687629,2314.0,0.027297857636489287,79.54353835521769,0.4402211472011057,0.27864992150706436,0.022762951334379906,0.0034287418008348003,2968,0.61653109024048
VirginAmerica,1109,796,0.9981965734896303,0.15266485998193316,0.8473351400180669,0.8238482384823849,0.8690153568202349,938.0,0.04787714543812105,72.00451671183379,0.36314363143631434,0.19900497512437812,0.009950248756218905,0.008510638297872353,1109,0.6128469372732803
AskTigogh,205,99,1.0,0.05365853658536585,0.9463414634146341,0.9169512195121953,0.975609756097561,194.0,0.06829268292682927,77.71707317073171,0.5121951219512195,0.1523809523809524,0.0,,205,0.610370298702092
SCsupport,643,530,0.9875583203732504,0.14488188976377953,0.8551181102362204,0.8267716535433071,0.8818897637795275,543.0,0.09763779527559055,98.52598425196851,0.3401574803149606,0.3333333333333333,0.023148148148148147,0.015078534031413626,643,0.6085716209930526
idea_cares,6704,2894,0.977,0.2859092459911293,0.7140907540088707,0.6994029341521666,0.7304674172637324,4677.157333333334,0.05458887751620607,118.0174002047083,0.5151825315591948,0.0728476821192053,0.02052980132450331,0.00364790764790765,3000,0.6063410026921197
SpotifyCares,15726,9914,0.9923333333333333,0.34094726234464223,0.6590527376553578,0.6422573060127645,0.6762008733624454,10284.804,0.040980853207927444,109.85220020154517,0.3799126637554585,0.2546419098143236,0.02564102564102564,-0.14215881883479647,3000,0.6044095934485478
DropboxSupport,1867,1105,0.9769683985002678,0.22478070175438597,0.7752192982456141,0.7560307017543859,0.7960800438596491,1414.0,0.09265350877192982,120.54111842105263,0.3673245614035088,0.282089552238806,0.029850746268656716,-0.07221711872874664,1867,0.60266193011356
AskPlayStation,9049,6139,0.906,0.3274466519499632,0.6725533480500367,0.6541482707873436,0.6909584253127299,5513.857333333333,0.07799852832965416,83.60485651214128,0.44996320824135394,0.1733442354865086,0.05560098119378577,-0.02010205225972861,3000,0.5976689029672387
AskCiti,1370,873,0.9802919708029197,0.30230826507818315,0.6976917349218168,0.6716306775874907,0.7215376023827252,937.0,0.2889054355919583,140.16306775874907,0.31794489947877885,0.2154566744730679,0.0234192037470726,-0.07704918032786887,1370,0.5936784666614039
PearsonSupport,464,350,1.0,0.15732758620689655,0.8426724137931034,0.8124461206896552,0.8793103448275862,391.0,0.09051724137931035,106.64008620689656,0.30387931034482757,0.22695035460992907,0.028368794326241134,0.1569767441860465,464,0.5908955396916231
Morrisons,4310,2449,1.0,0.2866666666666667,0.7133333333333334,0.69665,0.7303416666666667,3074.4666666666667,0.009333333333333334,91.736,0.37166666666666665,0.25739910313901343,0.013452914798206279,-0.0249397026860963,3000,0.5833410443370545
O2,6596,3706,0.998,0.3259853039412158,0.6740146960587843,0.6566382765531062,0.6907147628590514,4436.909333333334,0.03507014028056112,96.1503006012024,0.4816299265197061,0.1608876560332871,0.029819694868238558,-0.050814247639698246,3000,0.5826926999861471
MOO,292,231,0.9863013698630136,0.11805555555555555,0.8819444444444444,0.84375,0.9201388888888888,254.0,0.013888888888888888,65.39236111111111,0.3159722222222222,0.5494505494505495,0.02197802197802198,0.09912280701754383,292,0.579251089498521
GreggsOfficial,1401,1076,0.9992862241256245,0.22714285714285715,0.7728571428571429,0.7528392857142857,0.7935892857142857,1082.0,0.005714285714285714,52.354285714285716,0.4614285714285714,0.12229102167182662,0.0030959752321981426,-0.10149877373058405,1401,0.575531387933231
AskeBay,4582,2380,0.982,0.32756279701289887,0.6724372029871011,0.6564833672776647,0.6887304820095044,3025.6473333333333,0.05668703326544467,122.69178547182621,0.4195519348268839,0.17071197411003236,0.023462783171521034,-0.11568350406216885,3000,0.5738893735020487
NortonSupport,896,359,0.7600446428571429,0.22026431718061673,0.7797356828193833,0.751762114537445,0.8120411160058737,531.0,0.09691629955947137,107.64757709251101,0.566813509544787,0.17616580310880828,0.025906735751295335,-0.16120035698348953,896,0.5737804155633258
AppleSupport,35265,24663,0.97,0.5034364261168385,0.4965635738831615,0.48178694158075597,0.5154725085910653,16985.975,0.15532646048109966,107.50034364261168,0.3615120274914089,0.17015209125475286,0.03231939163498099,-0.04125691957017261,3000,0.5704314324588379
ArgosHelpers,4222,2449,0.9996666666666667,0.32510836945648547,0.6748916305435145,0.65621873957986,0.6909053017672557,2848.442666666667,0.042347449149716575,96.84228076025342,0.5338446148716238,0.24921923797626483,0.009993753903810118,0.0556236011314627,3000,0.5701684667084994
AldiUK,2475,2108,1.0,0.31191919191919193,0.6880808080808081,0.6694848484848485,0.7054747474747475,1703.0,0.06383838383838383,94.58949494949495,0.2545454545454545,0.26666666666666666,0.0031746031746031746,-0.11302934904031686,2475,0.5637183115616637
HPSupport,2445,1625,0.9717791411042945,0.40235690235690236,0.5976430976430976,0.5761679292929294,0.6161721380471381,1420.0,0.2803030303030303,111.07281144781145,0.15067340067340068,0.23743016759776536,0.04189944134078212,0.014685436218282943,2445,0.5604198798842139
askvisa,449,297,0.5968819599109132,0.15671641791044777,0.8432835820895522,0.7985074626865671,0.8844216417910448,226.0,0.007462686567164179,113.91417910447761,0.24253731343283583,0.2923076923076923,0.015384615384615385,-0.0826330532212885,449,0.5567801848318569
AWSSupport,520,436,1.0,0.2230769230769231,0.7769230769230769,0.7365384615384616,0.8153846153846154,404.0,0.01730769230769231,97.8,0.3403846153846154,0.4745762711864407,0.01694915254237288,-0.030201342281879207,520,0.5477272598711864
asksalesforce,297,185,1.0,0.19528619528619529,0.8047138047138047,0.7542087542087542,0.8518518518518519,239.0,0.026936026936026935,78.92592592592592,0.3771043771043771,0.375,0.008928571428571428,0.0,297,0.5451324439258552
AsurionCares,808,407,0.9839108910891089,0.29559748427672955,0.7044025157232705,0.6716666666666666,0.7308490566037735,560.0,0.06540880503144654,93.26792452830189,0.46540880503144655,0.0918918918918919,0.008108108108108109,-0.03338703902613677,808,0.5353036656683998
OPPOCareIN,297,162,0.98989898989899,0.2857142857142857,0.7142857142857143,0.6598639455782314,0.7653061224489796,210.0,0.1564625850340136,116.22448979591837,0.48299319727891155,0.09859154929577464,0.0,0.04134366925064599,297,0.5261495720337104
Ask_WellsFargo,2740,2111,0.9989051094890511,0.3872853489221776,0.6127146510778224,0.5940811107051516,0.6320789185239313,1677.0,0.019729630982827914,116.46218487394958,0.2393131165509682,0.13893129770992366,0.012213740458015267,-0.06412407503011529,2740,0.5204827947365795
AskTarget,3629,2983,0.9976666666666667,0.4189776144336786,0.5810223855663215,0.5653023722018042,0.5977363848980956,2103.6103333333335,0.04310056799198129,168.15870364183093,0.3314400267290344,0.2247983870967742,0.010080645161290322,0.015282163387579956,3000,0.5182465999620453
GoDaddyHelp,744,522,0.9758064516129032,0.325068870523416,0.6749311294765841,0.6362603305785125,0.7079889807162534,490.00000000000006,0.06060606060606061,104.36088154269973,0.3650137741046832,0.25660377358490566,0.007547169811320755,-0.0038244766505635686,744,0.5167500258461416
PandoraSupport,397,310,0.9974811083123426,0.2777777777777778,0.7222222222222222,0.6792297979797981,0.7651515151515151,286.0,0.03787878787878788,97.68181818181819,0.35353535353535354,0.2,0.02857142857142857,-0.3559322033898305,397,0.5160226169029868
AskRobinhood,214,194,1.0,0.24299065420560748,0.7570093457943925,0.7009345794392523,0.8085280373831776,162.0,0.018691588785046728,67.91588785046729,0.2757009345794392,0.1694915254237288,0.03389830508474576,0.10815602836879433,214,0.5094040015348932
TacoBellTeam,1739,1326,0.9976998274870615,0.38328530259365995,0.61671469740634,0.5919020172910663,0.6409365994236311,1070.0,0.014985590778097982,43.43804034582133,0.39538904899135446,0.119533527696793,0.004373177842565598,-0.014785510200004001,1739,0.5067598264418471
VMUcare,570,355,0.9947368421052631,0.31746031746031744,0.6825396825396826,0.6472663139329806,0.7248677248677249,387.0,0.029982363315696647,74.35273368606703,0.4620811287477954,0.16412213740458015,0.019083969465648856,0.018627237805319996,570,0.5063953197427431
DellCares,2018,845,0.987611496531219,0.4295032614149523,0.5704967385850477,0.5479177119919719,0.5910687405920723,1137.0,0.10286001003512293,126.36276969392875,0.27596588058203714,0.21454545454545454,0.016363636363636365,0.0020512820512820495,2018,0.5055064982669093
Ask_Spectrum,7615,4984,0.9996666666666667,0.48882960986995666,0.5111703901300433,0.4924891630543514,0.5292014004668222,3891.265,0.009669889963321108,116.06802267422474,0.375458486162054,0.15008880994671403,0.017761989342806393,-0.023698320869197098,3000,0.5000765916928464
sprintcare,8157,4983,0.9866666666666667,0.5050675675675675,0.49493243243243246,0.4760135135135135,0.5128462837837837,3983.335,0.019256756756756758,98.44831081081081,0.36655405405405406,0.08940092165898618,0.01935483870967742,-0.03494362839113398,3000,0.49544535850359595
CoxHelp,3297,1892,1.0,0.455,0.5449999999999999,0.5259750000000001,0.5623833333333333,1796.8649999999998,0.025,100.71066666666667,0.4,0.13,0.024166666666666666,-0.06062035617407713,3000,0.49330442665134044
ChaseSupport,3052,2337,0.9983333333333333,0.4714524207011686,0.5285475792988314,0.5098414023372287,0.5462437395659432,1610.438666666667,0.027712854757929884,107.60133555926544,0.22570951585976629,0.26479289940828404,0.019230769230769232,0.06630419498476683,3000,0.4828906811602187
ArbysCares,941,761,0.9989373007438895,0.4276595744680851,0.5723404255319149,0.5414893617021277,0.598936170212766,538.0,0.07340425531914893,75.98617021276596,0.30425531914893617,0.22377622377622378,0.0034965034965034965,-0.15284552845528454,941,0.47617491505390874
AskRBC,482,387,0.991701244813278,0.40376569037656906,0.5962343096234309,0.5522489539748954,0.6422594142259415,285.0,0.06276150627615062,118.55230125523012,0.39330543933054396,0.3191489361702128,0.005319148936170213,0.00048715138229205035,482,0.4641909953330297
YahooCare,304,211,0.993421052631579,0.36423841059602646,0.6357615894039735,0.5860927152317881,0.685430463576159,192.0,0.019867549668874173,95.41059602649007,0.4602649006622517,0.20863309352517986,0.04316546762589928,-0.09377990430622007,304,0.46058822133976457
